"Sr. No.","State","work","work_id","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"6797","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18202/2025-2026/220832","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DHARMENDRA YADAV","AZAMGARH","20-Jun-2026","AMIT KUMAR YADAV CONTRACTOR  SUPPLIERS","Payment Success","1700352"
"6798","Uttar Pradesh","Construction of toilet blocks","WS/MP468/2025-2026/260360","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","18-May-2026","DINESH KUMAR","Payment Success","928136"
"6799","Uttar Pradesh","Construction of toilet blocks","WS/MP468/2025-2026/260359","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","18-May-2026","DINESH KUMAR","Payment Success","929059"
"6800","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18202/2025-2026/220830","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DHARMENDRA YADAV","AZAMGARH","20-Jun-2026","ASHA YADAV","Payment Success","1500443"
"6801","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18202/2025-2026/258465","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DHARMENDRA YADAV","AZAMGARH","20-Jun-2026","ASHA YADAV","Payment Success","1397362"
"6802","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18202/2025-2026/258464","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DHARMENDRA YADAV","AZAMGARH","11-Aug-2026","ASHA YADAV","Payment Success","1403422"
"6803","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18202/2025-2026/220829","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","DHARMENDRA YADAV","AZAMGARH","19-May-2026","ASHA YADAV","Payment Success","781883"
"6804","Karnataka","Construction of buildings for community cultural activities","WS/MP18087/2025-2026/244479","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","BASAVARAJ BOMMAI","HAVERI","16-May-2026","RAJU P LAMANI","Payment Success","373141"
"6805","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18216/2025-2026/193223","FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA)","NARESH CHANDRA UTTAM PATEL","FATEHPUR","19-Jun-2026","Swa Sriram Charan Smritika Shiksha Samiti","Payment Success","600000"
"6806","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186579","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","25-Jul-2026","RAHUL NATH YOGI","Payment Success","10049"
"6807","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186579","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","25-Jul-2026","ANIL BABJI","Payment Success","10049"
"6808","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186579","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","25-Jul-2026","RUKMA DEVI","Payment Success","3627"
"6809","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186579","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","25-Jul-2026","VIMLA","Payment Success","3627"
"6810","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18185/2026-2027/246647","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","18-May-2026","VIJAAY","Payment Success","3168745"
"6811","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186579","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","25-Jul-2026","MUKESH NATH YOGI","Payment Success","3627"
"6812","Punjab","Development of public parks","WS/MP18155/2025-2026/250126","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","20-May-2026","Satpal Singh Massn","Payment Success","18000"
"6813","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186579","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","25-Jul-2026","SURENDRA REBARI","Payment Success","3627"
"6814","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18162/2025-2026/186579","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","25-Jul-2026","SONU NATH","Payment Success","3627"
"6815","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Govind bhallabh","Payment Success","11312"
"6816","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Chandrashekar pandey","Payment Success","10908"
"6817","Punjab","Construction of veterinary hospitals and dispensaries","WS/MP18158/2025-2026/203150","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","20-May-2026","ms vansh Brick kiln","Payment Success","20405"
"6818","Punjab","Construction of veterinary hospitals and dispensaries","WS/MP18158/2025-2026/203150","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","20-May-2026","ms vansh Brick kiln","Payment Success","5712"
"6819","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Puran mehra","Payment Success","10908"
"6820","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Negi supplier","Payment Success","113160"
"6821","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Kamla devi","Payment Success","7308"
"6822","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Shivani pandey","Payment Success","7308"
"6823","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Soniya pandey","Payment Success","7308"
"6824","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP643/2026-2027/146359","Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA)","Gyaneshwar Patil","KHANDWA","13-May-2026","Gram Panchayat Barud","Payment Success","300000"
"6825","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Lalita pandey","Payment Success","7308"
"6826","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Nutan pandey","Payment Success","7308"
"6827","Madhya Pradesh","Establishing public ground water recharging facilities","WS/MP360/2025-2026/185314","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","19-May-2026","Patel Brothers","Payment Success","248443"
"6828","Madhya Pradesh","Establishing public ground water recharging facilities","WS/MP360/2025-2026/185317","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","20-May-2026","Patel Brothers","Payment Success","248443"
"6829","Madhya Pradesh","Establishing public ground water recharging facilities","WS/MP360/2025-2026/185319","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","20-May-2026","Patel Brothers","Payment Success","248443"
"6830","Madhya Pradesh","Establishing public ground water recharging facilities","WS/MP360/2025-2026/185315","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","20-May-2026","Patel Brothers","Payment Success","248443"
"6831","Madhya Pradesh","Establishing public ground water recharging facilities","WS/MP360/2025-2026/185316","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","20-May-2026","Patel Brothers","Payment Success","248443"
"6832","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18056/2025-2026/263090","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","PARSHOTTAMBHAI RUPALA","RAJKOT","15-May-2026","Grampanchayat Kangashiyali","Payment Success","400000"
"6833","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18394/2025-2026/209305","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","23-Jul-2026","Sri Amman Construction","Payment Success","109115"
"6834","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18394/2025-2026/209305","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","23-Jun-2026","Sri Amman Construction","Payment Success","1863996"
"6835","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2026-2027/274747","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","20-May-2026","GRAM PANCHAYAT PANARJHIR","Payment Success","225000"
"6836","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18024/2025-2026/183638","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","20-May-2026","BIPUL CHANDRA BORUAH","Payment Success","83697"
"6837","Punjab","Development of public parks","WS/MP716/2025-2026/235003","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-May-2026","VEERPAL KAUR SARPANCH","Payment Success","86238"
"6838","Punjab","Construction of public irrigation facilities","WS/MP18153/2025-2026/238124","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","14-May-2026","SAT NARAIN MODI AND SONS","Payment Success","124800"
"6839","Punjab","Construction of public irrigation facilities","WS/MP18153/2025-2026/238157","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","17-Jun-2026","SAT NARAIN MODI AND SONS","Payment Success","200000"
"6840","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP640/2026-2027/274712","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","20-May-2026","GRAM PANCHAYAT KHAJARI","Payment Success","225000"
"6841","Punjab","Construction of public irrigation facilities","WS/MP18153/2025-2026/238124","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","14-May-2026","Jaspal9855924367","Payment Success","25200"
"6842","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18024/2025-2026/154012","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","GAURAV GOGOI","JORHAT","21-May-2026","ABHIJIT BORKAKATI","Payment Success","123259"
"6843","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/250900","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","14-May-2026","SHRI KRISHNA CONTRACTORS","Payment Success","62330"
"6844","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18131/2025-2026/253008","RATNAGIRI(District Collector Ratnagiri_IDA)","NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","20-Aug-2026","RUSHIKESH SUJIT SALVI","Payment Success","238647"
"6845","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18131/2025-2026/253008","RATNAGIRI(District Collector Ratnagiri_IDA)","NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","19-May-2026","RUSHIKESH SUJIT SALVI","Payment Success","250000"
"6846","Odisha","Construction of public libraries and reading rooms","WS/MP300/2026-2027/199505","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","06-Aug-2026","JYOTI RANJAN BEHERA","Payment Success","989253"
"6847","Odisha","Construction of public libraries and reading rooms","WS/MP300/2026-2027/199513","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","19-May-2026","JYOTI RANJAN BEHERA","Payment Success","981705"
"6848","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/250900","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","14-May-2026","Amandeep Singh","Payment Success","40000"
"6849","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP18010/2025-2026/201982","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","TANGELLA UDAY SRINIVAS","KAKINADA","14-May-2026","INAKONA SURYAPRAKASHARAO","Payment Success","1420283"
"6850","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Bhawan budhalkoti","Payment Success","7308"
"6851","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204384","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","Vimla devi","Payment Success","7308"
"6852","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18153/2025-2026/250900","FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA)","SHER SINGH GHUBAYA","FIROZPUR","14-May-2026","Shivam Bricks Industry","Payment Success","7670"
"6853","Punjab","Construction of veterinary hospitals and dispensaries","WS/MP18158/2025-2026/203150","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","20-May-2026","Sohal traders","Payment Success","20700"
"6854","Chandigarh","Providing drains and gutters for public drainage","WS/MP18047/2024-2025/176002","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MANISH TEWARI","CHANDIGARH","19-May-2026","Ram Partap Yadav","Payment Success","196013"
"6855","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18158/2025-2026/199636","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","14-May-2026","Bhagat Singh Building Material Store","Payment Success","15600"
"6856","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18158/2025-2026/199636","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","14-May-2026","ms Ghuman Cement Store","Payment Success","24000"
"6857","Karnataka","Construction of community centers and community halls","WS/MP18083/2026-2027/264638","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","14-May-2026","RAJESH K","Payment Success","299799"
"6858","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/218858","HINGOLI(DISTRICT COLLECTOR HINGOLI_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","07-Aug-2026","KAPIL KESHAVRAO AMBHORE","Payment Success","2965232"
"6859","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/218864","HINGOLI(DISTRICT COLLECTOR HINGOLI_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","15-May-2026","KAPIL KESHAVRAO AMBHORE","Payment Success","1493124"
"6860","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP578/2025-2026/214280","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-May-2026","DABKA GROUP GRAM PANCHAYAT","Payment Success","197799"
"6861","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP578/2025-2026/214267","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-May-2026","SANKLI GRAM PANCHAYAT","Payment Success","198371"
"6862","Rajasthan","Purchase of IT systems, including hardware and software for educational purposes","WS/MP727/2024-2025/142175","KOTA(DISTRICT COLLECTOR KOTA_IDA)","Om Birla","KOTA","14-May-2026","MEENA ENTERPRISES","Payment Success","66000"
"6863","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP18310/2025-2026/200838","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI","BHADRAK(SC)","18-May-2026","RABINDRA KUMAR NAYAK","Payment Success","300000"
"6864","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/202411","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","prakash chandra arya","Payment Success","15150"
"6865","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP021/2025-2026/256053","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","21-May-2026","prakash chandra arya","Payment Success","7575"
"6866","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","KHUSHAL SINGH","Payment Success","10010"
"6867","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","DIPENDRA SINGH","Payment Success","9555"
"6868","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","MAHESH CHANDRA SINGH","Payment Success","9555"
"6869","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","TIRLOK SINGH","Payment Success","9555"
"6870","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","LATA DEVI","Payment Success","6325"
"6871","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","MUNNI DEVI","Payment Success","6325"
"6872","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","GOPAL RAM","Payment Success","6325"
"6873","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","PANI RAM","Payment Success","6325"
"6874","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","KAILASH CHANDRA","Payment Success","6325"
"6875","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","VIPIN CHANDRA","Payment Success","6325"
"6876","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","CHATUR SINGH","Payment Success","6325"
"6877","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/250052","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","14-May-2026","LALIT MOHAN SINGH BOHRA","Payment Success","6050"
"6878","Maharashtra","Construction of buildings for community cultural activities","WS/MP18132/2025-2026/174564","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","VISHAL","SANGLI","14-Jul-2026","OM MAJUR SAHAKARI SANSTHA LTD","Payment Success","988619"
"6879","Jammu And Kashmir","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP331/2025-2026/242070","SAMBA(Deputy Commissioner Samba_IDA)","Shri Jugal Kishore Sharma","JAMMU","26-May-2026","Lalit Kumar","Payment Success","160000"
"6880","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP723/2025-2026/230768","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Gajendra Singh Shekhawat","JODHPUR","18-May-2026","Maa Bhadariya Rai Enterprises","Payment Success","491827"
"6881","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP746/2026-2027/287433","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Kani K Navas","RAMANATHAPURAM","22-Jun-2026","NOORDEEN","Payment Success","898544"
"6882","West Bengal","Construction of boundary walls of existing public and community buildings","WS/MP852/2025-2026/231682","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","18-May-2026","JOHA SEKH","Payment Success","488983"
"6883","Maharashtra","Construction of buildings for community cultural activities","WS/MP18132/2025-2026/226543","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","VISHAL","SANGLI","14-Jul-2026","SHAILESH DEEPAK PARAMANE","Payment Success","1000000"
"6884","Maharashtra","Construction of public libraries and reading rooms","WS/MP18119/2025-2026/163414","GADCHIROLI(DISTRICT COLLECTOR GADCHIROLI_IDA)","DR. KIRSAN NAMDEO","GADCHIROLI-CHIMUR(ST)","05-Aug-2026","Dnyneshwar Ramji Bhanderkar","Payment Success","926097"
"6885","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18132/2025-2026/174580","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","VISHAL","SANGLI","15-Jul-2026","PRAJWAL TUKARAM SHINDE","Payment Success","1000000"
"6886","Odisha","Construction of community centers and community halls","WS/MP18310/2025-2026/200960","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI","BHADRAK(SC)","22-Jun-2026","MR MANIBHADRA ROUT","Payment Success","338948"
"6887","Kerala","Purchase of vehicles for mobile libraries","WS/MP632/2025-2026/203018","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Anto Antony","PATHANAMTHITTA","15-May-2026","NSS GIRLS HIGH SCHOOL KARUKACHAL","Payment Success","65500"
"6888","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18083/2025-2026/211371","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","18-May-2026","UDAY KUMAR M H","Payment Success","199995"
"6889","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP351/2025-2026/141849","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Kumbakudi Sudhakaran","KANNUR","15-May-2026","ANAGHBABU P","Payment Success","671276"
"6890","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP413/2025-2026/249812","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Alok Kumar Suman","GOPALGANJ (SC)","22-Jun-2026","SONI CONSTRUCTION","Payment Success","490347"
"6891","Odisha","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18143/2025-2026/249914","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","19-May-2026","Bijaya Kumar Nayak","Payment Success","158916"
"6892","Odisha","Construction of rooms and halls in school and colleges","WS/MP18143/2025-2026/244209","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","RABINDRA NARAYAN BEHERA","JAJPUR(SC)","19-May-2026","Bijaya Kumar Nayak","Payment Success","348383"
"6893","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP478/2025-2026/154205","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","16-May-2026","Prem Singh","Payment Success","250000"
"6894","Haryana","Construction of community centers and community halls","WS/MP18065/2025-2026/155823","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","15-May-2026","RAJKAPOOR SINGH CONTRACTOR","Payment Success","488079"
"6895","Uttarakhand","Purchase of IT systems, including hardware and software for educational purposes","WS/MP021/2026-2027/261210","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","30-May-2026","ODC CARD CALENDAR","Payment Success","299994"
"6896","Punjab","Providing drains and gutters for public drainage","WS/MP18155/2025-2026/261620","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","15-May-2026","Baldev Raj massn","Payment Success","38700"
"6897","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP343/2025-2026/244529","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr Shashi Tharoor","THIRUVANANTHAPURAM","25-Jun-2026","V ANIL KUMAR","Payment Success","733521"
"6898","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18154/2025-2026/215779","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","15-May-2026","Riar cement store","Payment Success","54750"
