"Sr. No.","State","work","work_id","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7922","Karnataka","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18089/2026-2027/233375","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","24-Jun-2026","SHANKRAPPA HANUMANTAPPA NAYAK","Payment Success","375000"
"7923","Punjab","Development of playfields and sports grounds","WS/MP18155/2025-2026/247495","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","13-May-2026","Talvir Singh so Sohan Singh","Payment Success","26000"
"7924","Punjab","Construction of community centers and community halls","WS/MP381/2025-2026/227983","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Daljit Singh","Payment Success","50000"
"7925","Jammu And Kashmir","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP331/2025-2026/242796","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Jugal Kishore Sharma","JAMMU","18-Apr-2026","Jatinder Singh","Payment Success","278000"
"7926","West Bengal","Construction of buildings for community cultural activities","WS/MP859/2025-2026/226109","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Kalyan Banerjee","SREERAMPUR","14-Apr-2026","DEBARGHYA CONSTRUCTION","Payment Success","580536"
"7927","Rajasthan","Purchase of sports equipment","WS/MP18162/2025-2026/232293","BUNDI(DISTRICT COLLECTOR BUNDI_IDA)","DAMODAR AGARWAL","BHILWARA","30-Apr-2026","Aman Contractor","Payment Success","294000"
"7928","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18323/2026-2027/244809","LATUR(DISTRICT COLLECTOR LATUR_IDA)","DR KALGE SHIVAJI BANDAPPA","LATUR(SC)","30-Jun-2026","YELGATTE NAMDEV TUKARAM","Payment Success","999000"
"7929","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP574/2025-2026/181137","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","21-Apr-2026","GRAM PANCHAYAT DHAROI","Payment Success","200000"
"7930","Tamil Nadu","Construction of community centers and community halls","WS/MP18183/2025-2026/192872","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","MURASOLI S","THANJAVUR","15-Apr-2026","Sudharsan","Payment Success","349992"
"7931","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/185909","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","17-Apr-2026","Ganesh Jat","Payment Success","29250"
"7932","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/185909","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","17-Apr-2026","Shobharam jat","Payment Success","23140"
"7933","Jammu And Kashmir","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP331/2025-2026/242765","SAMBA(Deputy Commissioner Samba_IDA)","Shri Jugal Kishore Sharma","JAMMU","24-Apr-2026","FARID AKHTER","Payment Success","167000"
"7934","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/185909","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","17-Apr-2026","Radha jat","Payment Success","10920"
"7935","Chhattisgarh","Construction of community centers and community halls","WS/MP18278/2026-2027/275876","Sarangarh-Bilaigarh(Collector SB_IDA)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","12-May-2026","Gram Panchayat Jhumka","Payment Success","500000"
"7936","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/185909","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","17-Apr-2026","Ratan jat","Payment Success","17030"
"7937","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/185909","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","17-Apr-2026","Ramlal Jat","Payment Success","10920"
